"Observation station","Year","Month","Day","Time [Local time]","Direct solar radiation mean [W/m2]"
"Jokioinen Ilmala","2021","4","1","00:00","342.8"
"Jokioinen Ilmala","2021","4","2","00:00","54.4"
"Jokioinen Ilmala","2021","4","3","00:00","175.4"
"Jokioinen Ilmala","2021","4","4","00:00","279.1"
"Jokioinen Ilmala","2021","4","5","00:00","7.8"
"Jokioinen Ilmala","2021","4","6","00:00","77.6"
"Jokioinen Ilmala","2021","4","7","00:00","3.8"
"Jokioinen Ilmala","2021","4","8","00:00","389.8"
"Jokioinen Ilmala","2021","4","9","00:00","0.3"
"Jokioinen Ilmala","2021","4","10","00:00","56.8"
"Jokioinen Ilmala","2021","4","11","00:00","355.3"
"Jokioinen Ilmala","2021","4","12","00:00","102.2"
"Jokioinen Ilmala","2021","4","13","00:00","73.6"
"Jokioinen Ilmala","2021","4","14","00:00","181.8"
"Jokioinen Ilmala","2021","4","15","00:00","458.1"
"Jokioinen Ilmala","2021","4","16","00:00","444.5"
"Jokioinen Ilmala","2021","4","17","00:00","438.4"
"Jokioinen Ilmala","2021","4","18","00:00","439.5"
"Jokioinen Ilmala","2021","4","19","00:00","417"
"Jokioinen Ilmala","2021","4","20","00:00","381"
"Jokioinen Ilmala","2021","4","21","00:00","181.5"
"Jokioinen Ilmala","2021","4","22","00:00","169.1"
"Jokioinen Ilmala","2021","4","23","00:00","18.3"
"Jokioinen Ilmala","2021","4","24","00:00","5.1"
"Jokioinen Ilmala","2021","4","25","00:00","5.9"
"Jokioinen Ilmala","2021","4","26","00:00","1.3"
"Jokioinen Ilmala","2021","4","27","00:00","9.9"
"Jokioinen Ilmala","2021","4","28","00:00","216.3"
"Jokioinen Ilmala","2021","4","29","00:00","214.5"
"Jokioinen Ilmala","2021","4","30","00:00","250.5"
"Jokioinen Ilmala","2021","5","1","00:00","271.2"
"Jokioinen Ilmala","2021","5","2","00:00","253"
"Jokioinen Ilmala","2021","5","3","00:00","129"
"Jokioinen Ilmala","2021","5","4","00:00","275"
"Jokioinen Ilmala","2021","5","5","00:00","21.9"
"Jokioinen Ilmala","2021","5","6","00:00","32"
"Jokioinen Ilmala","2021","5","7","00:00","0.8"
"Jokioinen Ilmala","2021","5","8","00:00","258.4"
"Jokioinen Ilmala","2021","5","9","00:00","191"
"Jokioinen Ilmala","2021","5","10","00:00","17.1"
"Jokioinen Ilmala","2021","5","11","00:00","374.4"
"Jokioinen Ilmala","2021","5","12","00:00","488.3"
"Jokioinen Ilmala","2021","5","13","00:00","248.7"
"Jokioinen Ilmala","2021","5","14","00:00","265.8"
"Jokioinen Ilmala","2021","5","15","00:00","166"
"Jokioinen Ilmala","2021","5","16","00:00","366"
"Jokioinen Ilmala","2021","5","17","00:00","78.1"
"Jokioinen Ilmala","2021","5","18","00:00","197.8"
"Jokioinen Ilmala","2021","5","19","00:00","0.3"
"Jokioinen Ilmala","2021","5","20","00:00","159.9"
"Jokioinen Ilmala","2021","5","21","00:00","-0.2"
"Jokioinen Ilmala","2021","5","22","00:00","123.1"
"Jokioinen Ilmala","2021","5","23","00:00","74.7"
"Jokioinen Ilmala","2021","5","24","00:00","462.3"
"Jokioinen Ilmala","2021","5","25","00:00","212.2"
"Jokioinen Ilmala","2021","5","26","00:00","0.7"
"Jokioinen Ilmala","2021","5","27","00:00","57.4"
"Jokioinen Ilmala","2021","5","28","00:00","92.1"
"Jokioinen Ilmala","2021","5","29","00:00","517.3"
"Jokioinen Ilmala","2021","5","30","00:00","553.8"
"Jokioinen Ilmala","2021","5","31","00:00","126.3"
"Jokioinen Ilmala","2021","6","1","00:00","389.3"
